score,content
5,"주관적으로 평가하자면 그래픽:10/10 세세한 디테일, 표정묘사까지 업계 최고수준이라고 생각하고, 스킬 이펙트도 훌륭하다고 느꼈습니다 최적화:9/10 이런류 게임은 보통 모바일 게임이라고는 하지만, 거의 pc에서 하라고 만든 느낌이었는데 pc, 모바일 둘다 해봄으로써 최적화도 타 게임에 비해 훨씬 쾌적하게 돌아갔습니다 게임성:9/10 무엇보다 공장 시스템이 너무 재미있습니다 내가 직접 만든 공장이 점점 발전하고, 생산량도 꾸준히 늘어가는게 재미있었지만 전기까는게 너무 귀찮아요ㅜㅜ 스토리 및 한국어 더빙:4/10 개인적으로 스토리는 재미가 없습니다 메인스토리가 메인스토리가 아니라 다른겜 서브퀘 하러다니는거마냥 지루하고 메인스에서만 느낄수 있는 감동? 같은것들이 부족합니다 더빙 면에서도 솔직히 많이 부족하다고 생각합니다만 스토리는 차차 개선될거라고 생각합니다 배경음 및 효과음:7/10 무난합니다 성장 재화 및 픽업재화:7/10 이거도 적당합니다 500자 제한 슬퍼요 ㅜㅜ"
5,"게임 만듦새는 좋고 틀은 완벽함. 하지만 전투와 공장 두 가지의 전혀 다른 장르가 유저들 평가를 가름. 공장은 느긋하게 하지만 정교하고 복잡한 시스템이고, 전투는 격렬한게 각각의 맛이니까. 온갖 게임을 다 해보는 잡식성 게이머만 좋은 평가를 줄 듯. 일단 전반적으로 공장 비율이 많이 더 높다고 생각함. 근데 공장 잘 돌려서 얻는 이득은 캐릭터 스펙 상향 뿐이라는 아이러니. 그래서 둘 중 하나라도 온전히 즐기지 못하면 게임이 쓰레기로 느껴질 듯. 호불호 갈려서 점수 꼬라박았는데, 게임의 틀은 온전하니까 한... 반년? 지나면 정상궤도로 오르고 자기만의 확고한 방향성과 유저풀을 가지고 갈 듯"
2,"액션전투겜인줄알았는데비주얼좋은공장겜이였음. 머리 안 좋아서 도중에 포기함 공장건설 같은게임 좋아하시면 재밌게 하실듯,,"
1,☆☆강요되는 공장. 공장 컨텐츠에 지나치게 시간이 많이 든다. 무릉가면 물부터 끌어와야 한다. 공장을 강요하는 것에 비해 게임사가 제공해주는 유용한 청사진은 적고 유저들이 공유해주는 청사진을 이용해야 한다. 게임사의 일을 유저에게 떠맡기는 느낌. ☆넓은 필드를 직접 발로 뛰면서 중계기와 짚라인을 설치해야 한다. ☆☆지나치게 적은 사료에 픽뚫 확률75% 120연 가차를 하기 전까지 픽뚫 무한정 나옴. 캐릭 명함 20만원 정도라고 함. ☆☆무조건 리세해서 6성 상시캐릭를 들고 시작해야 하고 이마저도 상시캐릭과 픽업캐릭의 성능차이가 심함. ☆☆☆☆☆☆스토리가 너무 너무 노잼. 그냥 다 스킵 추천. 시간 아까움. 전투 개노잼. 플블캐들이 너무 매력 없음. 근데 이 BM은 무슨 자신감이지?
5,최적화 GOAT
1,로딩이 너무느림
5,이 게임 재밌네요
1,게임 드럽게 어렵고 복잡하네 레벨6찍고 게임 접은건 이 게임뿐이다
1,모든 경험에서 난잡함을 느낌
5,최적화를 어떻게 했길래 제 폰으로도 이게 돌아가나요... 대해묘...
5,초반에는 어떤재미인지 모르겠고 전투도 단조롭다 느꼈는데 공장 만드는재미랑 파티시너지 연계스킬 쓰는게 생각보다 재밌음
5,재밌긴함 스토리는 노잼이니 스킵추천
1,전투 관련해서는 최악 회피는 왜 존재하는건가 싶은 판정에다가 회피 타이밍도 안내해주는것과는 전혀 다름
5,그냥 말이 필요없는 꿀잼 게임
1,ip빨 게임 때깔만 좋음
3,전투 시스템이 뭔소린지 이해를 못하겠음 스택을 쌓고 터뜨리고 부착하고 뭐 어쩌고.. 그리고 스택을 쳐쌓으라는데 보이지가 않음. 스택이 대체 어디있는데??? 전투시스템이 너무 복잡하고 불친절함
5,굳
1,쓰레기
3,"호불호가 명확한 게임. 장점도 많지만 단점도 많다. 장점. 고퀄의 아트웍과 최적화. 요즘 오픈월드 치고 맵크기가 크지는 않지만 밀도있고 스케일도 크게 느껴짐. 서브컬쳐에서 보기힘든 팩토리겜. 엄청 하드하지 않고 적당히 즐길만 하다. 집라인 까는 재미가 있다. 파티 연계 위주의 독특한 전투방식. 연계기 터트리는 맛이 있다. 단점. 모바일로 하기 너무 어려운겜. 공장 짓기는 거의 불가능. UI가 예쁘긴한데 불편한 부분도 상당수 존재. 게임 패드는 더 불편하다. 일일 숙제가 지나치게 많음. 공장 물건 생산만 자동이고 그외 나머지 모든것, 희귀템 채집, 부품수거 등 모든것이 수동임. 캐릭터 육성 난이도가 굉장히 하드하고 오래걸림. 한달간 한파티도 완성못함. 육성은 복잡하고 어려운데 고난도 전투는 또 엄청 어려워서 육성과 컨트롤 둘다 받쳐주지 않으면 고난도 컨텐츠에서 그냥 불쾌함만 느끼게 될것. 그냥 전반적으로 게임이 라이트하지 않고 하드하다. 시간 빌게이츠들에게 이 게임을 추천함."
1,폰기종:Z플립5 우선 고사양폰은 아니니 어느정도 감안하고 시작했으나 화면이 너무 끊겨서 진행하는게 너무나도 어려움. 내 폰이 문제인건지 뭔지 한번씩 튕기기도함 튜토리얼+초반스토리 빌드업을 위해서라지만 스킵이 안됨.제대로 자율시작까지 시간이 너무 오래걸림. 끊김+튕김 으로 튜토리얼 마무리까지 3~40분정도 걸림
3,bm만 고치자 해묘야 제발. 공장은 딱 내스타일임
5,공장 너무 어렵다고 징징 거리고 그러는데 본인 뇌는 복잡한거 싫어하는 작고 아담한 피넛 브레인임 근데 문제 없이 공장 전부 이해하고 스토리 다 밀고 즐겁게 겜하는중임 눈이 달렸으면 설명 나올때 좀 읽어라 그냥 무지성 거인마냥 스킵 다 눌러 놓고 아 이게 뭐야 공장 너무 어려워 하지 말고
1,그냥 무소과금은 버린다 생각하는 bm구조 120뽑을 모아서 한번에 쓰게 만들었지만 120뽑 천장쳐도 무뽑은 천장을 못치기 때문에 추가로 캐릭터 뽑을 하지만 이월 안되서 엄청 비싸지고 그렇다면 명함만 먹으면 되는 것 아닌가? 120뽑 재화 모아서 꼴박하면 무뽑 주는데 이걸 안주고 버틴다? 말이 안되는 구조 찍먹 비틱도 안되는데 걍 무소과금은 미래가 없음
2,"애매하네 캐릭터랑 전체적인 디자인 표현력은 취향인데 bm이 진짜 에바임 이월없고 천장도 있는건지 없는건지 설명도 불친절함 장비도 캐릭터 뽑기를 해야 얻는 재화로 뽑기가 가능함 어이가 없음 게임이 전체적으로 유저에게 이해시키려는 방법도 애매하게 표현함 스토리도 이해가 안감 텍스트 개많음 흥미가 안감 이해가 안가서 캐릭터 표현력은 좋음 밈도 재밌고 근데 그게 다임 파밍도 개 귀찮음 갔던 곳 또 가고 반복 노가다 하품이 나올 정도로 지루함 캐릭터 성장 개빡임 하나 다 키우는데 엄청 오래걸림 에너지 차는 속도가 개느려서 근데 개선하려는 의지가 보임 설문조사하기 시작하고 갑자기 뭘 퍼줌 근데 이것도 애매한 양임 그리고 스토리 다 밀면 이제 뭘 할지 모르겠음 할게 솔직히 없음.. + 현재 재화 많이 퍼준다고 착각하는 이유 숫자가 많아서;; 사실상 이 게임은 1뽑당 500개임 그런데 이벤트로 400, 800개로 많이 준다고 착각하고 있음 사실상 1뽑, 2뽑씩 찔끔찔끔 주고 있음"
5,첨에 시작하면 뭐부터 할지 고민 되는데 막상 하다보면 결국엔 다 할수 있게 한게 엄청 좋은거 같네요 다만 BM는 약간 뽑기 시스템이 운빨 심하게 적용되는게 참 애매한거 같네요 나머지 BM는 나쁘진 않는듯 합니다 하루에 2~3시간씩은 순삭되는 겜입니다
5,청사진 이나 일괄 조작으로 선택한 것들을 배치할때 뒤집기 기능 있으면 참 좋겠다
3,지역별 건설 설치 제한 걸려있는게 너무 아쉽다 짚라인은 적어도 50개는 박고 싶은데 20개는 너무 적음
3,겜이 즐거웠는데 몇일전부터 힘들게 느껴진다. 그래서 언뜻 손이 잘안가게 된다.
1,중국게임 특유의 초반구간 튜토리얼 강제 이제 지겹다. 공장 뭐 이런거도 굳이 찾아가서 할 만큼 메리트도 없다.
5,그냥 게임이 재미있다.
4,"Z플립7으로 플레이 중인데요. 협곡은 괜찮은데, 무릉은 레이아웃버그와, 로딩버그 때문에 PC로만 하고 있어요. 고쳐주시면 재밌게 하겠습니다"
1,"게임은 정말 재밌습니다. 다만 저장공간이 충분한데도 불구하고 접속이 안 됩니다. 게임 중에 캐릭터 옷이 온통 핑크색이 되거나 배경이 모두 갈색이 되는 등 그래픽 버그와 게임 중에 튕기는 현상은 잦았지만, 이렇게 접속 자체가 안 되는 적은 처음입니다... 거의 20만원 가까이 현질하며 열심히 한 게임이 3일 내내 접속이 안 되니 정말 허망합니다. 이런 현상들이 빨리 해결될 수 있길 바랍니다."
5,컨텐츠 내놔...이젠 할게없어.ㅡㅡ
1,무기가 컴플리트 가챠 캐릭터 1차로 재화뽑고 그재화로 2차로 무기뽑는방식 2중가챠 80뽑첫 천장이후 캐릭터 다음천장 240뽑 1돌파비용 첫번째 80회이후 3배증가 무기 2중가챠 뚤고 80회로뽑고나면 그다음 1제련 픽뚤75퍼 내가 원하는 픽업확률 25퍼 1회차대비 4배증가 일본은 컴플리트금지법있어서 가챠구조뜯어고치치 안는이상 일본출시 불가능 거기에 뽑기 이월없음 ㅅㄱ
3,케릭 디자인좀 잘 뽑아도 반은 가겠구만..케릭이 이상한거 주렁주렁 달고 있으니 호불호가 진짜..
1,그냥 하기 힘듬ㅋㅋ
5,"솔직히 잘만든 게임. 초반 진입장벽과 취향이 갈리긴하지만 아무래도 나한텐 극호로 다가왔음. 원신식 오픈월드만 하다가 제약이 있는 필드탐험을 하니 오랜만에 콘솔게임에서 느꼈던 클래식한 탐험의 재미를 느낀것같음. 또한 필드를 최적화하는 과정 자체가 더 오래 머물수있게 하고, 플레이어의 작은 선택이 변화를 일으키기에 더욱 이 세계에 몰입시켜주는 장치라고 느낌. 게임 시스템은 강제하지 않지만 유저가 더 노력할수록 보상이 쥐어지니 더 큰 성취감을 느낄 수 있었음. 지금은 1.0버전이라 허전한 느낌이지만 시스템기반 자체는 잘 다져져있기에, 다른게임처럼 업데이트가 쌓이면 재평가 받게될거라 생각함."
5,신선하고 재밌다. 못해본 장르
5,나쁘지 않다고 생각함
1,공장겜으로 망쳐놓은겜
5,"컨텐츠가 일시적인 느낌이라 양은 많은데 다 퍼먹고 나니 할게 없음. 스테미너도 적고, 관리권도 살수있는 아이템도 수량이 정해져 있어서 다사고 나면 가치가 없는거나 마찬가지임. 그리고 육성 재화가 압도적으로 부족함. 템포를 맞춘건 알겠는데 좀 심할 정도로 부족하다고 생각함. 지금까지 주는거 다 받아도 파티하나 풀강을 못함. 주기적으로 얻는 성장 재료가 적은것도 있고 전작이랑 템포가 비슷한 느낌인데 단점도 비슷한듯? 그래도 재미있긴함. 천천히 하면 즐길수 있을듯."
4,게임 볼륨도 크고 최적화도 괜찮음. 다만 스마트폰으로 플레이하기엔 별로. 콘솔게임하는 느낌으로 해야함.
5,재미는 확실히 있는데 가챠가 좀 매움
5,굿
2,"처음엔 기대 많이했는데 막상 하고나선 실망, 액션도 특출난게 없고 족쇄투성이고 공장도 애매하고 불편함을 컨텐츠로 포장해놓고 캐릭터 가격은 사악하게 팔아먹음. 독창성이나 게임성 부분을 보고 할꺼면 명일방주를 하지 이걸 계속하진 않을듯;"
1,ㅋ 픽뚫 확률 어머련들
5,"시간이 많은 사람에겐 최고의 게임, 시간 없는사람한텐 최악의 게임."
3,이건 오픈월드로 할 게임이 아닌거같음..
5,그래픽좋구... 와우.. 근데 스토리가넘많음 ㅠㅠ
5,Just a god-tier game in its own right.
